time,altitude,velocity,accel_bias,alt (bmp),vert_accel
0.0000,0.0000,0.0000,0.0000,615.5155,0.0000
0.0201,615.5156,0.0040,0.0000,615.5155,0.1964
0.0402,615.5157,0.0080,0.0000,615.5155,0.2001
0.0604,615.5165,0.0120,-0.0000,615.7782,0.1979
0.0805,615.5181,0.0162,-0.0000,615.7782,0.2047
0.1006,615.5198,0.0205,-0.0000,615.7934,0.2070
0.1210,615.5216,0.0249,-0.0000,615.7934,0.2107
0.1411,615.5240,0.0304,-0.0001,615.7934,0.2127
0.1614,615.5261,0.0348,-0.0001,615.8086,0.2142
0.1815,615.5283,0.0394,-0.0001,615.8086,0.2217
0.2016,615.5305,0.0440,-0.0001,615.8086,0.2245
0.2217,615.5328,0.0486,-0.0001,615.8086,0.2194
0.2418,615.5352,0.0531,-0.0001,615.8086,0.2197
0.2619,615.5374,0.0577,-0.0001,615.7444,0.2256
0.2824,615.5397,0.0623,-0.0001,615.7444,0.2259
0.3025,615.5420,0.0669,-0.0001,615.7596,0.2222
0.3227,615.5445,0.0715,-0.0001,615.7596,0.2234
0.3428,615.5470,0.0761,-0.0001,615.7596,0.2243
0.3629,615.5496,0.0808,-0.0002,615.7444,0.2259
0.3831,615.5523,0.0854,-0.0002,615.7444,0.2220
0.4033,615.5550,0.0900,-0.0002,615.7444,0.2273
0.4234,615.5578,0.0946,-0.0002,615.7444,0.2274
0.4435,615.5606,0.0995,-0.0002,615.7444,0.2397
0.4636,615.5635,0.1043,-0.0002,615.7288,0.2348
0.4838,615.5665,0.1091,-0.0002,615.7288,0.2382
0.5039,615.5695,0.1139,-0.0002,615.7137,0.2322
0.5240,615.5726,0.1186,-0.0002,615.7137,0.2271
0.5441,615.5757,0.1232,-0.0002,615.7137,0.2276
0.5642,615.5789,0.1279,-0.0002,615.7137,0.2281
0.5845,615.5821,0.1326,-0.0002,615.7137,0.2293
0.6046,615.5855,0.1372,-0.0002,615.7137,0.2258
0.6247,615.5889,0.1418,-0.0002,615.7137,0.2213
0.6449,615.5924,0.1464,-0.0002,615.7137,0.2277
0.6652,615.5960,0.1510,-0.0002,615.7137,0.2253
0.6854,615.5996,0.1557,-0.0003,615.7137,0.2268
0.7055,615.6034,0.1603,-0.0003,615.7137,0.2250
0.7256,615.6072,0.1648,-0.0003,615.7137,0.2224
0.7457,615.6110,0.1694,-0.0003,615.7137,0.2231
